,Pclass,Age,SibSp,Parch,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S,Survived
0,3,34.5,0,0,7.8292,,1.0,1.0,0.0,0
1,3,47.0,1,0,7.0,,0.0,0.0,1.0,1
2,2,62.0,0,0,9.6875,,1.0,1.0,0.0,0
3,3,27.0,0,0,8.6625,,1.0,0.0,1.0,0
4,3,22.0,1,1,12.2875,,0.0,0.0,1.0,1
5,3,14.0,0,0,9.225,,1.0,0.0,1.0,0
6,3,30.0,0,0,7.6292,,0.0,1.0,0.0,1
7,2,26.0,1,1,29.0,,1.0,0.0,1.0,0
8,3,18.0,0,0,7.2292,,0.0,0.0,0.0,1
9,3,21.0,2,0,24.15,,1.0,0.0,1.0,0
10,3,,0,0,7.8958,,1.0,0.0,1.0,0
11,1,46.0,0,0,26.0,,1.0,0.0,1.0,0
12,1,23.0,1,0,82.2667,B45,0.0,0.0,1.0,1
13,2,63.0,1,0,26.0,,1.0,0.0,1.0,0
14,1,47.0,1,0,61.175,E31,0.0,0.0,1.0,1
15,2,24.0,1,0,27.7208,,0.0,0.0,0.0,1
16,2,35.0,0,0,12.35,,1.0,1.0,0.0,0
17,3,21.0,0,0,7.225,,1.0,0.0,0.0,0
18,3,27.0,1,0,7.925,,0.0,0.0,1.0,1
19,3,45.0,0,0,7.225,,0.0,0.0,0.0,1
20,1,55.0,1,0,59.4,,1.0,0.0,0.0,0
21,3,9.0,0,1,3.1708,,1.0,0.0,1.0,0
22,1,,0,0,31.6833,,0.0,0.0,1.0,1
23,1,21.0,0,1,61.3792,,1.0,0.0,0.0,0
24,1,48.0,1,3,262.375,B57 B59 B63 B66,0.0,0.0,0.0,1
25,3,50.0,1,0,14.5,,1.0,0.0,1.0,0
26,1,22.0,0,1,61.9792,B36,0.0,0.0,0.0,1
27,3,22.5,0,0,7.225,,1.0,0.0,0.0,0
28,1,41.0,0,0,30.5,A21,1.0,0.0,1.0,0
29,3,,2,0,21.6792,,1.0,0.0,0.0,0
30,2,50.0,1,0,26.0,,1.0,0.0,1.0,0
31,2,24.0,2,0,31.5,,1.0,0.0,1.0,0
32,3,33.0,1,2,20.575,,0.0,0.0,1.0,1
33,3,,1,2,23.45,,0.0,0.0,1.0,1
34,1,30.0,1,0,57.75,C78,1.0,0.0,0.0,0
35,3,18.5,0,0,7.2292,,1.0,0.0,0.0,0
36,3,,0,0,8.05,,0.0,0.0,1.0,1
37,3,21.0,0,0,8.6625,,0.0,0.0,1.0,1
38,3,25.0,0,0,9.5,,1.0,0.0,1.0,0
39,3,,0,0,56.4958,,1.0,0.0,1.0,0
40,3,39.0,0,1,13.4167,,1.0,0.0,0.0,0
41,1,,0,0,26.55,D34,1.0,0.0,1.0,0
42,3,41.0,0,0,7.85,,1.0,0.0,1.0,0
43,2,30.0,0,0,13.0,,0.0,0.0,1.0,1
44,1,45.0,1,0,52.5542,D19,0.0,0.0,1.0,1
45,3,25.0,0,0,7.925,,1.0,0.0,1.0,0
46,1,45.0,0,0,29.7,A9,1.0,0.0,0.0,0
47,3,,0,0,7.75,,1.0,1.0,0.0,0
48,1,60.0,0,0,76.2917,D15,0.0,0.0,0.0,1
49,3,36.0,0,2,15.9,,0.0,0.0,1.0,1
50,1,24.0,1,0,60.0,C31,1.0,0.0,1.0,0
51,2,27.0,0,0,15.0333,,1.0,0.0,0.0,0
52,2,20.0,2,1,23.0,,0.0,0.0,1.0,1
53,1,28.0,3,2,263.0,C23 C25 C27,0.0,0.0,1.0,1
54,2,,0,0,15.5792,,1.0,0.0,0.0,0
55,3,10.0,4,1,29.125,,1.0,1.0,0.0,0
56,3,35.0,0,0,7.8958,,1.0,0.0,1.0,0
57,3,25.0,0,0,7.65,F G63,1.0,0.0,1.0,0
58,3,,1,0,16.1,,1.0,0.0,1.0,0
59,1,36.0,0,0,262.375,B61,0.0,0.0,0.0,1
60,3,17.0,0,0,7.8958,,1.0,0.0,1.0,0
61,2,32.0,0,0,13.5,,1.0,0.0,1.0,0
62,3,18.0,0,0,7.75,,1.0,0.0,1.0,0
63,3,22.0,0,0,7.725,,0.0,1.0,0.0,1
64,1,13.0,2,2,262.375,B57 B59 B63 B66,1.0,0.0,0.0,0
65,2,,0,0,21.0,,0.0,0.0,1.0,1
66,3,18.0,0,0,7.8792,,0.0,1.0,0.0,1
67,1,47.0,0,0,42.4,,1.0,0.0,1.0,0
68,1,31.0,0,0,28.5375,C53,1.0,0.0,0.0,0
69,1,60.0,1,4,263.0,C23 C25 C27,0.0,0.0,1.0,1
70,3,24.0,0,0,7.75,,0.0,1.0,0.0,1
71,3,21.0,0,0,7.8958,,1.0,0.0,1.0,0
72,3,29.0,0,0,7.925,,0.0,0.0,1.0,1
73,1,28.5,0,0,27.7208,D43,1.0,0.0,0.0,0
74,1,35.0,0,0,211.5,C130,0.0,0.0,0.0,1
75,1,32.5,0,0,211.5,C132,1.0,0.0,0.0,0
76,3,,0,0,8.05,,1.0,0.0,1.0,0
77,1,55.0,2,0,25.7,C101,0.0,0.0,1.0,1
78,2,30.0,0,0,13.0,,1.0,0.0,1.0,0
79,3,24.0,0,0,7.75,,0.0,1.0,0.0,1
80,3,6.0,1,1,15.2458,,1.0,0.0,0.0,0
81,1,67.0,1,0,221.7792,C55 C57,1.0,0.0,1.0,0
82,1,49.0,0,0,26.0,,1.0,0.0,1.0,0
83,3,,0,0,7.8958,,1.0,0.0,1.0,0
84,2,,0,0,10.7083,,1.0,1.0,0.0,0
85,3,,1,0,14.4542,,1.0,0.0,0.0,0
86,3,27.0,0,0,7.8792,,0.0,1.0,0.0,1
87,3,18.0,0,0,8.05,,0.0,0.0,1.0,1
88,3,,0,0,7.75,,0.0,1.0,0.0,1
89,2,2.0,1,1,23.0,,1.0,0.0,1.0,0
90,3,22.0,1,0,13.9,,0.0,0.0,1.0,1
91,3,,0,0,7.775,,1.0,0.0,1.0,0
92,1,27.0,1,2,52.0,B71,0.0,0.0,1.0,1
93,3,,0,0,8.05,,1.0,0.0,1.0,0
94,1,25.0,0,0,26.0,,1.0,0.0,0.0,0
95,3,25.0,0,0,7.7958,,1.0,0.0,1.0,0
96,1,76.0,1,0,78.85,C46,0.0,0.0,1.0,1
97,3,29.0,0,0,7.925,,1.0,0.0,1.0,0
98,3,20.0,0,0,7.8542,,0.0,0.0,1.0,1
99,3,33.0,0,0,8.05,,1.0,0.0,1.0,0
100,1,43.0,1,0,55.4417,C116,0.0,0.0,0.0,1
101,2,27.0,1,0,26.0,,1.0,0.0,1.0,0
102,3,,0,0,7.75,,1.0,1.0,0.0,0
103,3,26.0,0,0,7.775,,1.0,0.0,1.0,0
104,3,16.0,1,1,8.5167,,0.0,0.0,0.0,1
105,3,28.0,0,0,22.525,,1.0,0.0,1.0,0
106,3,21.0,0,0,7.8208,,1.0,1.0,0.0,0
107,3,,0,0,7.75,,1.0,1.0,0.0,0
108,3,,0,0,8.7125,,1.0,0.0,1.0,0
109,2,18.5,0,0,13.0,F,1.0,0.0,1.0,0
110,2,41.0,0,0,15.0458,,1.0,0.0,0.0,0
111,3,,0,0,7.7792,,0.0,1.0,0.0,1
112,1,36.0,0,0,31.6792,A29,0.0,0.0,0.0,1
113,3,18.5,0,0,7.2833,,0.0,1.0,0.0,1
114,1,63.0,1,0,221.7792,C55 C57,0.0,0.0,1.0,1
115,3,18.0,1,0,14.4542,,1.0,0.0,0.0,0
116,3,,0,0,6.4375,,1.0,0.0,0.0,0
117,3,1.0,1,1,16.7,G6,0.0,0.0,1.0,1
118,1,36.0,0,0,75.2417,C6,1.0,0.0,0.0,0
119,2,29.0,1,0,26.0,,0.0,0.0,1.0,1
120,2,12.0,0,0,15.75,,0.0,0.0,1.0,1
121,3,,1,0,7.75,,1.0,1.0,0.0,0
122,1,35.0,1,0,57.75,C28,0.0,0.0,0.0,1
123,3,28.0,0,0,7.25,,1.0,0.0,1.0,0
124,3,,0,0,7.75,,1.0,1.0,0.0,0
125,3,17.0,0,1,16.1,,0.0,0.0,1.0,1
126,3,22.0,0,0,7.7958,,1.0,0.0,1.0,0
127,3,,2,0,23.25,,0.0,1.0,0.0,1
128,2,42.0,0,0,13.0,,1.0,0.0,1.0,0
129,3,24.0,0,0,8.05,,1.0,0.0,1.0,0
130,3,32.0,0,0,8.05,,1.0,0.0,1.0,0
131,1,53.0,0,0,28.5,C51,1.0,0.0,0.0,0
132,3,,0,4,25.4667,,0.0,0.0,1.0,1
133,3,,1,0,6.4375,,1.0,0.0,0.0,0
134,3,43.0,0,0,7.8958,,1.0,0.0,1.0,0
135,3,24.0,0,0,7.8542,,1.0,0.0,1.0,0
136,3,26.5,0,0,7.225,,1.0,0.0,0.0,0
137,2,26.0,0,0,13.0,,1.0,0.0,1.0,0
138,3,23.0,0,0,8.05,,0.0,0.0,1.0,1
139,3,40.0,1,6,46.9,,1.0,0.0,1.0,0
140,3,10.0,5,2,46.9,,0.0,0.0,1.0,1
141,1,33.0,0,0,151.55,,0.0,0.0,1.0,1
142,1,61.0,1,3,262.375,B57 B59 B63 B66,1.0,0.0,0.0,0
143,2,28.0,0,0,26.0,,1.0,0.0,1.0,0
144,1,42.0,0,0,26.55,,1.0,0.0,1.0,0
145,3,31.0,3,0,18.0,,1.0,0.0,1.0,0
146,1,,0,0,51.8625,E46,1.0,0.0,1.0,0
147,3,22.0,0,0,8.05,,1.0,0.0,1.0,0
148,1,,0,0,26.55,,1.0,0.0,1.0,0
149,2,30.0,1,1,26.0,,1.0,0.0,1.0,0
150,1,23.0,0,1,83.1583,C54,0.0,0.0,0.0,1
151,3,,0,0,7.8958,,1.0,0.0,0.0,0
152,3,60.5,0,0,,,1.0,0.0,1.0,0
153,3,36.0,0,2,12.1833,,0.0,0.0,1.0,1
154,3,13.0,4,2,31.3875,,1.0,0.0,1.0,0
155,3,24.0,0,0,7.55,,1.0,0.0,1.0,0
156,1,29.0,0,0,221.7792,C97,0.0,0.0,1.0,1
157,3,23.0,0,0,7.8542,,0.0,0.0,1.0,1
158,1,42.0,0,0,26.55,D22,1.0,0.0,1.0,0
159,3,26.0,0,2,13.775,,0.0,0.0,1.0,1
160,3,,0,0,7.7333,,0.0,1.0,0.0,1
161,3,7.0,1,1,15.2458,,1.0,0.0,0.0,0
162,2,26.0,0,0,13.5,,0.0,0.0,1.0,1
163,3,,0,0,7.0,,1.0,0.0,1.0,0
164,2,41.0,0,0,13.0,,1.0,0.0,1.0,0
165,3,26.0,1,1,22.025,,0.0,0.0,1.0,1
166,1,48.0,0,0,50.4958,B10,1.0,0.0,0.0,0
167,3,18.0,2,2,34.375,,1.0,0.0,1.0,0
168,1,,0,0,27.7208,,0.0,0.0,0.0,1
169,3,22.0,0,0,8.9625,,0.0,0.0,1.0,1
170,3,,0,0,7.55,,1.0,0.0,1.0,0
171,3,27.0,0,0,7.225,,1.0,0.0,0.0,0
172,3,23.0,1,0,13.9,,1.0,0.0,1.0,0
173,3,,0,0,7.2292,,1.0,0.0,0.0,0
174,3,40.0,1,5,31.3875,,1.0,0.0,1.0,0
175,2,15.0,0,2,39.0,,0.0,0.0,1.0,1
176,2,20.0,0,0,36.75,,0.0,0.0,1.0,1
177,1,54.0,1,0,55.4417,C116,1.0,0.0,0.0,0
178,2,36.0,0,3,39.0,F4,0.0,0.0,1.0,1
179,1,64.0,0,2,83.1583,E45,0.0,0.0,0.0,1
180,2,30.0,0,0,13.0,,1.0,0.0,1.0,0
181,1,37.0,1,1,83.1583,E52,1.0,0.0,0.0,0
182,1,18.0,1,0,53.1,D30,0.0,0.0,1.0,1
183,3,,0,0,7.75,,1.0,1.0,0.0,0
184,1,27.0,1,1,247.5208,B58 B60,0.0,0.0,0.0,1
185,2,40.0,0,0,16.0,,1.0,0.0,1.0,0
186,2,21.0,0,1,21.0,,0.0,0.0,1.0,1
187,3,17.0,2,0,8.05,,1.0,0.0,1.0,0
188,3,,8,2,69.55,,0.0,0.0,1.0,1
189,2,40.0,0,0,13.0,,1.0,0.0,1.0,0
190,2,34.0,1,0,26.0,,1.0,0.0,1.0,0
191,1,,0,0,26.0,,1.0,0.0,1.0,0
192,3,11.5,1,1,14.5,,1.0,0.0,1.0,0
193,2,61.0,0,0,12.35,,1.0,1.0,0.0,0
194,2,8.0,0,2,32.5,,1.0,0.0,1.0,0
195,3,33.0,0,0,7.8542,,1.0,0.0,1.0,0
196,1,6.0,0,2,134.5,E34,1.0,0.0,0.0,0
197,3,18.0,0,0,7.775,,0.0,0.0,1.0,1
198,2,23.0,0,0,10.5,,1.0,0.0,1.0,0
199,3,,0,0,8.1125,,0.0,0.0,1.0,1
200,3,,0,0,15.5,,0.0,1.0,0.0,1
201,3,0.33,0,2,14.4,,1.0,0.0,1.0,0
202,1,47.0,1,0,227.525,C62 C64,1.0,0.0,0.0,0
203,2,8.0,1,1,26.0,,0.0,0.0,1.0,1
204,2,25.0,0,0,10.5,,1.0,0.0,1.0,0
205,1,,0,0,25.7417,,1.0,0.0,0.0,0
206,3,35.0,0,0,7.75,,0.0,1.0,0.0,1
207,2,24.0,0,0,10.5,,1.0,0.0,1.0,0
208,1,33.0,0,0,27.7208,A11,0.0,0.0,0.0,1
209,3,25.0,0,0,7.8958,,1.0,0.0,1.0,0
210,3,32.0,0,0,22.525,,1.0,0.0,1.0,0
211,3,,0,0,7.05,,1.0,0.0,1.0,0
212,2,17.0,0,0,73.5,,1.0,0.0,1.0,0
213,2,60.0,1,0,26.0,,0.0,0.0,1.0,1
214,3,38.0,4,2,7.775,,0.0,0.0,1.0,1
215,1,42.0,0,0,42.5,B11,1.0,0.0,1.0,0
216,3,,0,0,7.8792,,0.0,1.0,0.0,1
217,1,57.0,1,1,164.8667,,1.0,0.0,1.0,0
218,1,50.0,1,1,211.5,C80,0.0,0.0,0.0,1
219,3,,0,0,8.05,,1.0,0.0,1.0,0
220,2,30.0,1,0,13.8583,,0.0,0.0,0.0,1
221,3,21.0,0,0,8.05,,1.0,0.0,1.0,0
222,2,22.0,0,0,10.5,F33,0.0,0.0,1.0,1
223,3,21.0,0,0,7.7958,,1.0,0.0,1.0,0
224,1,53.0,0,0,27.4458,,0.0,0.0,0.0,1
225,3,,0,2,15.2458,,0.0,0.0,0.0,1
226,3,23.0,0,0,7.7958,,1.0,0.0,1.0,0
227,3,,0,0,7.75,,0.0,1.0,0.0,1
228,3,40.5,0,0,15.1,,1.0,0.0,1.0,0
229,2,36.0,0,0,13.0,,1.0,0.0,1.0,0
230,2,14.0,0,0,65.0,,1.0,0.0,1.0,0
231,1,21.0,0,0,26.55,,0.0,0.0,1.0,1
232,3,21.0,1,0,6.4958,,1.0,0.0,1.0,0
